ECG,RSP
-0.018616,5.8447
-0.016174,5.8398
-0.013885,5.8328
-0.01236,5.8252
-0.008698,5.8197
-0.006409,5.8151
-0.00412,5.8105
-0.001526,5.8057
0.00351,5.8011
0.000763,5.7959
0.001068,5.7953
0.004578,5.7913
0.005493,5.7864
0.005646,5.7858
0.003357,5.7812
0.005493,5.7812
0.007782,5.7761
0.007935,5.7764
0.008545,5.7721
0.010834,5.7718
0.00824,5.7718
0.00946,5.7721
0.00824,5.7715
0.005646,5.7666
0.010986,5.7666
0.016174,5.7666
0.045319,5.7669
0.063782,5.7672
0.057068,5.7663
0.064392,5.7657
0.031738,5.7669
-0.002899,5.7666
-0.018921,5.766
-0.009155,5.7669
-0.010223,5.7715
-0.021057,5.7712
-0.021057,5.7715
-0.018311,5.7715
-0.016327,5.7718
-0.011749,5.7715
-0.010986,5.7715
-0.004272,5.7761
-0.001526,5.777
-0.012512,5.7767
-0.067444,5.7764
-0.022888,5.7764
0.251465,5.7767
0.959473,5.7812
0.818024,5.7812
0.051422,5.7806
-0.404205,5.7809
-0.430298,5.7806
-0.270386,5.7852
-0.136108,5.7858
-0.08606,5.7861
-0.06134,5.7861
-0.045471,5.791
-0.033569,5.7904
-0.02121,5.7904
-0.014191,5.7913
-0.006714,5.7956
0.001984,5.7956
0.008087,5.7962
0.015869,5.8005
0.028992,5.8008
0.042114,5.8008
0.055389,5.8057
0.066528,5.8051
0.076294,5.8051
0.095825,5.8109
0.119019,5.8102
0.138702,5.8102
0.15686,5.8102
0.15976,5.8157
0.155029,5.8154
0.133972,5.8151
0.068359,5.8215
-0.009918,5.8197
-0.087128,5.8203
-0.151672,5.8252
-0.191345,5.8249
-0.202026,5.8304
-0.202484,5.8304
-0.197449,5.835
-0.190735,5.834
-0.170746,5.8401
-0.147247,5.845
-0.138855,5.8484
-0.116882,5.8496
-0.104218,5.8542
-0.094604,5.8597
-0.076294,5.8643
-0.058899,5.8728
-0.055237,5.8786
-0.045624,5.8838
-0.045624,5.8881
-0.037994,5.8984
-0.027313,5.9036
-0.023651,5.9116
-0.025787,5.918
-0.026093,5.9268
-0.014191,5.9366
-0.016174,5.9421
-0.018921,5.9521
-0.028381,5.9625
-0.020905,5.9756
-0.021057,5.9863
-0.013733,5.9964
-0.008698,6.0086
-0.006409,6.0199
-0.011292,6.0345
-0.003815,6.0449
0.004425,6.0553
0.013275,6.0742
0.000916,6.0889
-0.002899,6.1035
-0.021057,6.1179
-0.012817,6.1316
0.015106,6.1453
0.013275,6.1594
0.017548,6.1725
0.013123,6.1859
0.059357,6.2006
0.003662,6.2158
0.006866,6.2299
0.032654,6.2445
0.035248,6.2585
0.050507,6.2738
0.048218,6.2836
-0.018616,6.2988
-0.028687,6.311
-0.025787,6.3174
-0.022278,6.3376
-0.012817,6.3513
-0.013428,6.3623
-0.031128,6.3754
-0.026245,6.3861
-0.016174,6.3959
-0.024872,6.4105
0.000763,6.4212
-0.000458,6.4307
-0.003967,6.4441
-0.056152,6.4548
-0.083313,6.4648
0.062714,6.4737
0.570221,6.4832
0.975342,6.4984
0.415344,6.5079
-0.142212,6.5176
-0.436249,6.5283
-0.397034,6.5372
-0.233917,6.5469
